Week,Seed,Owner,Punter,Team,Blocks,Touchbacks,Fair Catches,Out-of_Bounds,50+,60+,70+,Under 20,Under 10,Under 5,1 Yd Line,Punt Avg,Return Avg,Holds,Misses,Bonus Points,Total Points
17,8,Fed,M.Palardy,CAR,0,0.0,0.75,0.0,3,0.75,0.0,0,0.0,0.0,0.0,0.2,0.45,0.2,-0.0,0,5.3500000000000005
17,3,Julian,S.Koch,BAL,0,0.0,0.75,0.15,1,0.0,0.0,3,0.0,0.0,0.0,-0.3375,0.275,0.5,-0.0,0,5.3375
17,10,Bandit,R.Sanchez,IND,0,0.0,0.5,0.3,1,0.0,0.0,3,0.75,0.0,0.0,0.2,1.2000000000000002,0.4,-0.0,0,7.3500000000000005
17,1,O'Leary,S.Lechler,HOU,0,0.0,0.25,0.0,3,0.0,0.0,2,0.0,0.0,0.0,0.525,-0.8666666666666668,0.30000000000000004,-0.0,0,5.208333333333333
17,15,Kane,P.O'Donnell,CHI,0,0.0,0.0,0.0,6,0.0,0.0,0,0.0,0.0,0.0,0.6857142857142855,0.17142857142857146,0.1,-0.0,0,6.957142857142856
17,5,Levine,L.Edwards,NYJ,0,0.4,0.5,0.0,2,0.0,0.0,2,0.0,0.0,0.0,0.12857142857142848,0.30000000000000004,0.2,-0.5,0,5.0285714285714285
17,14,Stearns,R.Allen,NE,0,0.0,0.5,0.15,2,0.0,0.0,5,2.25,1.5,0.0,-0.275,0.7000000000000001,0.4,-0.0,0,12.225
17,9,Taylor,B.Colquitt,CLE,0,0.0,0.0,0.15,1,0.0,0.0,1,0.75,0.0,0.0,-0.4,0.35000000000000003,0.4,-0.0,0,3.25
17,13,Pacillo,J.Berry,PIT,0,0.0,0.75,0.0,0,0.0,0.0,2,0.0,0.0,0.0,-0.9,1.1,0.4,-0.0,0,3.35
17,7,Gillen,B.Nortman,JAX,0,0.8,0.5,0.0,1,0.0,0.0,2,0.0,0.0,0.0,-0.30000000000000004,0.42500000000000004,0.1,-0.0,0,4.5249999999999995
17,4,Hardardt,B.Kern,TEN,0,0.0,0.25,0.3,3,1.5,0.5,4,0.0,0.0,0.0,-0.2444444444444443,0.6400000000000001,0.30000000000000004,-0.0,0,10.245555555555558
17,6,Looney,M.King,OAK,0,0.0,0.5,0.15,1,0.0,0.0,1,0.75,0.5,0.25,0.03333333333333357,0,0.2,-0.0,0,4.383333333333334
17,11,Ralph,D.Kaser,LAC,0,0.0,0.25,0.15,0,0.0,0.0,2,0.75,0.0,0.0,-1.35,0,0.0,-0.0,0,1.7999999999999998
17,12,Bagley,J.Hekker,LA,0,0.0,0.25,0.44999999999999996,2,0.0,0.0,2,0.75,0.5,0.0,0.37142857142857155,-0.16666666666666663,0.30000000000000004,-0.0,0,6.454761904761905
17,2,Zack,A.Lee,ARI,0,0.8,0.0,0.0,4,1.5,0.0,0,0.0,0.0,0.0,0.8166666666666664,-0.07500000000000001,0.6000000000000001,-0.0,0,7.641666666666666
