Week,Owner,Punter,Team,Blocks,Touchbacks,Fair Catches,Out-of_Bounds,50+,60+,70+,Under 20,Under 10,Under 5,1 Yd Line,Punt Avg,Return Avg,Total Points
1,Miles,R.Allen,NE,0,0.0,0.5,0.0,0,0.0,0.0,1,0.75,0.0,0.0,-0.225,-0.75,1.275
1,Free Agent,J.Berry,PIT,0,0.0,0.25,0.0,1,0.0,0.0,0,0.0,0.0,0.0,-0.15000000000000002,-0.8,0.30000000000000004
1,Free Agent,T.Masthay,GB,0,0.4,0.0,0.0,1,0.0,0.0,0,0.0,0.0,0.0,0.35000000000000003,0.2,1.95
1,Bandit,P.O'Donnell,CHI,0,0.0,0.0,0.15,1,0.0,0.0,0,0.0,0.0,0.0,1.1,0,2.25
1,Free Agent,J.Ryan,SEA,0,0.4,0.25,0.0,2,0.75,0.0,2,0.0,0.0,0.0,0.375,3.1500000000000004,8.925
1,Free Agent,J.Hekker,STL,0,0.0,0.0,0.15,2,0.0,0.0,0,0.0,0.0,0.0,0.2333333333333336,2.25,4.633333333333333
1,David,B.Anger,JAC,0,0.0,0.5,0.0,1,0.0,0.0,2,0.0,0.0,0.0,0.12000000000000029,0.6333333333333334,4.253333333333334
1,Kane,B.Nortman,CAR,0,0.4,0.5,0.0,1,0.0,0.0,2,0.0,0.0,0.0,-0.025,0.0,3.875
1,Free Agent,M.Darr,MIA,0,0.4,0.25,0.0,3,0.75,0.0,1,0.0,0.0,0.0,0.925,0.25,6.575
1,Free Agent,T.Way,WAS,0,0.4,0.0,0.0,1,0.0,0.0,1,0.0,0.0,0.0,-0.3666666666666665,2.8000000000000003,4.833333333333334
1,Free Agent,P.McAfee,IND,0,0.0,0.5,0.15,0,0.0,0.0,0,0.0,0.0,0.0,-0.07500000000000001,-0.30000000000000004,0.2749999999999999
1,Free Agent,C.Schmidt,BUF,0,0.4,0.5,0.0,2,0.75,0.0,2,1.5,0.0,0.0,0.5399999999999999,-0.8500000000000001,6.84
1,Free Agent,R.Quigley,NYJ,0,0.4,0.25,0.0,1,0.0,0.0,1,0.75,0.0,0.0,-0.13333333333333358,0.1,3.3666666666666663
1,Free Agent,A.Lee,CLE,0,0.0,0.0,0.0,2,1.5,0.0,0,0.0,0.0,0.0,1.55,-0.25,4.8
1,Julian,D.Colquitt,KC,0,0.8,0.0,0.0,2,0.0,0.0,4,0.75,0.0,0.0,-0.1142857142857146,-0.55,6.885714285714285
1,Free Agent,S.Lechler,HOU,0,0.4,0.0,0.0,2,0.0,0.0,1,0.0,0.0,0.0,0.2,0.72,4.32
1,Free Agent,T.Morstead,NO,0,0.0,0.25,0.15,2,0.0,0.0,1,0.0,0.0,0.0,-0.225,-0.15000000000000002,3.025
