Week,Punter,Team,Punts,Punt Yards,Blocks,Touchbacks,Fair Catches,Out-of_Bounds,50+,60+,70+,Under 20,Under 10,Under 5,1 Yd Line,Returns,Return Yards,Holds,Misses,First Downs,TD,Fumbles,Int,Conduct
1,D.Colquitt,KC,6,262,0,0,4,0,1,0,0,3,0,0,0,1,8,6,0,0,0,0,0,0
1,R.Allen,NE,6,242,0,0,0,2,1,0,0,2,0,0,0,4,10,5,0,0,0,0,0,0
1,L.Edwards,NYJ,6,297,0,0,0,1,4,0,0,2,1,1,0,4,35,2,0,0,0,0,0,0
1,C.Schmidt,BUF,6,257,0,1,2,0,2,0,0,1,0,0,0,3,27,3,1,0,0,0,0,0
1,M.Bosher,ATL,3,178,0,0,0,0,3,1,0,0,0,0,0,3,45,5,0,0,0,0,0,0
1,P.O'Donnell,CHI,5,244,0,1,1,0,3,1,0,3,0,0,0,2,24,3,0,0,0,0,0,0
1,K.Huber,CIN,5,212,0,0,1,1,2,0,0,1,1,0,0,3,23,0,0,0,0,0,0,0
1,S.Koch,BAL,6,250,0,0,2,1,1,0,0,2,1,0,0,3,14,4,0,0,0,0,0,0
1,B.Colquitt,CLE,5,242,1,0,0,0,3,1,0,3,1,0,0,3,32,2,0,0,0,0,0,0
1,J.Berry,PIT,6,275,0,0,1,2,1,0,0,0,0,0,0,3,34,2,0,0,0,0,0,0
1,K.Redfern,DET,1,50,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
1,A.Lee,ARI,4,184,0,0,0,1,1,0,0,0,0,0,0,3,48,2,1,0,0,0,0,0
1,M.Prater,DET,4,139,0,0,2,0,0,0,0,1,1,0,0,0,0,2,0,0,0,0,0,0
1,S.Lechler,HOU,5,216,0,0,3,1,2,0,0,2,0,0,0,1,7,1,0,0,0,0,0,0
1,B.Nortman,JAX,4,187,0,1,1,1,2,1,0,0,0,0,0,1,21,4,2,0,0,0,0,0
1,B.Kern,TEN,4,188,0,1,1,1,1,0,0,2,0,0,0,1,5,4,1,0,0,0,0,0
1,M.King,OAK,3,158,0,1,0,0,2,0,0,1,1,1,0,1,5,6,0,0,0,0,0,0
1,T.Way,WAS,4,162,0,0,2,1,1,0,0,2,1,0,0,0,0,2,0,0,0,0,0,0
1,D.Jones,PHI,4,170,0,0,1,0,1,0,0,1,1,1,1,2,3,4,1,0,0,0,0,0
