Week,Punter,Team,Blocks,Touchbacks,Fair Catches,Out-of_Bounds,50+,60+,70+,Under 20,Under 10,Under 5,1 Yd Line,Punt Avg,Return Avg,Holds,Misses,First Downs,Touchdowns,Fumbles,Interceptions,Conduct,Total Points
1,D.Colquitt,KC,0,0.0,1.0,0.0,1,0.0,0.0,3,0.0,0.0,0.0,-0.13333333333333358,0.1,0.6000000000000001,-0.0,0,0,-0.0,-0.0,0,5.566666666666666
1,R.Allen,NE,0,0.0,0.0,0.2,1,0.0,0.0,2,0.0,0.0,0.0,-0.46666666666666645,0.65,0.5,-0.0,0,0,-0.0,-0.0,0,3.8833333333333337
1,L.Edwards,NYJ,0,0.0,0.0,0.1,4,0.0,0.0,2,0.75,0.5,0.0,0.45,0.025,0.2,-0.0,0,0,-0.0,-0.0,0,8.025
1,C.Schmidt,BUF,0,0.4,0.5,0.0,2,0.0,0.0,1,0.0,0.0,0.0,-0.21666666666666645,-0.0,0.30000000000000004,-0.25,0,0,-0.0,-0.0,0,3.7333333333333334
1,M.Bosher,ATL,0,0.0,0.0,0.0,3,0.75,0.0,0,0.0,0.0,0.0,1.4333333333333336,-0.6000000000000001,0.5,-0.0,0,0,-0.0,-0.0,0,5.083333333333334
1,P.O'Donnell,CHI,0,0.4,0.25,0.0,3,0.75,0.0,3,0.0,0.0,0.0,0.3799999999999997,-0.30000000000000004,0.30000000000000004,-0.0,0,0,-0.0,-0.0,0,7.78
1,K.Huber,CIN,0,0.0,0.25,0.1,2,0.0,0.0,1,0.75,0.0,0.0,-0.2600000000000002,0.1333333333333333,0.0,-0.0,0,0,-0.0,-0.0,0,3.9733333333333327
1,S.Koch,BAL,0,0.0,0.5,0.1,1,0.0,0.0,2,0.75,0.0,0.0,-0.3333333333333336,0.43333333333333335,0.4,-0.0,0,0,-0.0,-0.0,0,4.85
1,B.Colquitt,CLE,-3,0.0,0.0,0.0,3,0.75,0.0,3,0.75,0.0,0.0,0.33999999999999986,-0.16666666666666663,0.2,-0.0,0,0,-0.0,-0.0,0,4.873333333333333
1,J.Berry,PIT,0,0.0,0.25,0.2,1,0.0,0.0,0,0.0,0.0,0.0,0.08333333333333358,-0.2333333333333334,0.2,-0.0,0,0,-0.0,-0.0,0,1.5
1,K.Redfern,DET,0,0.0,0.0,0.0,1,0.0,0.0,0,0.0,0.0,0.0,0.5,0.9,0.0,-0.0,0,0,-1.5,-0.0,0,0.8999999999999999
1,A.Lee,ARI,0,0.0,0.0,0.1,1,0.0,0.0,0,0.0,0.0,0.0,0.1,-0.7000000000000001,0.2,-0.25,0,0,-0.0,-0.0,0,0.4500000000000002
1,M.Prater,DET,0,0.0,0.5,0.0,0,0.0,0.0,1,0.75,0.0,0.0,-1.0250000000000001,0,0.2,-0.0,0,0,-0.0,-0.0,0,1.4249999999999998
1,S.Lechler,HOU,0,0.0,0.75,0.1,2,0.0,0.0,2,0.0,0.0,0.0,-0.17999999999999972,0.2,0.1,-0.0,0,0,-0.0,-0.0,0,4.97
1,B.Nortman,JAX,0,0.4,0.25,0.1,2,0.75,0.0,0,0.0,0.0,0.0,0.17500000000000002,-1.2000000000000002,0.4,-0.5,0,0,-0.0,-0.0,0,2.3749999999999996
1,B.Kern,TEN,0,0.4,0.25,0.1,1,0.0,0.0,2,0.0,0.0,0.0,0.2,0.4,0.4,-0.25,0,0,-0.0,-0.0,0,4.500000000000001
1,M.King,OAK,0,0.4,0.0,0.0,2,0.0,0.0,1,0.75,0.5,0.0,0.7666666666666665,0.4,0.6000000000000001,-0.0,0,0,-0.0,-0.0,0,6.416666666666668
1,T.Way,WAS,0,0.0,0.5,0.1,1,0.0,0.0,2,0.75,0.0,0.0,-0.45,0,0.2,-0.0,0,0,-0.0,-0.0,0,4.1
1,D.Jones,PHI,0,0.0,0.25,0.0,1,0.0,0.0,1,0.75,0.5,0.25,-0.25,0.75,0.4,-0.25,0,0,-0.0,-0.0,0,4.4
1,R.Sanchez,IND,0,0.0,0.0,0.30000000000000004,3,0.0,0.0,2,0.0,0.0,0.0,0.5333333333333335,0.4,0.1,-0.5,0,0,-0.0,-0.0,0,5.833333333333333
1,J.Hekker,LA,0,0.0,0.0,0.1,0,0.0,0.0,5,1.5,0.0,0.0,-0.13999999999999987,0.9,0.6000000000000001,-0.0,0,0,-0.0,-0.0,0,7.960000000000001
1,J.Ryan,SEA,0,0.0,0.25,0.0,3,0.0,0.0,4,1.5,0.5,0.0,0.08333333333333358,0.9,0.30000000000000004,-0.0,0,0,-0.0,-0.0,0,10.533333333333335
1,J.Vogel,GB,0,0.0,1.0,0.0,1,0.0,0.0,1,0.0,0.0,0.0,-0.12000000000000029,0.2,0.30000000000000004,-0.0,0,0,-0.0,-0.0,0,3.38
1,B.Pinion,SF,0,0.0,0.25,0.0,0,0.0,0.0,1,0.0,0.0,0.0,-0.42500000000000004,0.6666666666666666,0.1,-0.0,0,0,-0.0,-0.0,0,1.5916666666666668
1,M.Palardy,CAR,0,0.0,0.25,0.1,2,0.0,0.0,1,0.0,0.0,0.0,0.6666666666666665,-0.0,0.5,-0.0,0,0,-0.0,-0.0,0,4.516666666666667
1,C.Jones,DAL,0,0.0,0.75,0.0,1,0.0,0.0,4,1.5,0.0,0.0,-1.0250000000000001,0.1,0.5,-0.0,0,0,-0.0,-0.0,0,6.824999999999999
1,B.Wing,NYG,0,0.4,0.5,0.1,1,0.0,0.0,0,0.0,0.0,0.0,-0.01666666666666643,0.9,0.1,-0.0,0,0,-0.0,-0.0,0,2.983333333333334
1,T.Morstead,NO,0,0.0,0.0,0.0,2,0.75,0.0,1,0.75,0.0,0.0,1.2000000000000002,0.35000000000000003,0.5,-0.0,0,0,-0.0,-0.0,0,6.55
1,R.Quigley,MIN,0,0.0,0.25,0.0,1,0.0,0.0,1,0.0,0.0,0.0,-0.15000000000000002,0.9,0.5,-0.25,0,0,-0.0,-0.0,0,3.25
1,R.Dixon,DEN,0,0.0,0.5,0.0,2,0.0,0.0,2,0.0,0.0,0.0,0.30000000000000004,1.2000000000000002,0.4,-0.25,0,0,-0.0,-0.0,0,6.15
1,D.Kaser,LAC,0,0.0,0.0,0.1,2,0.75,0.0,2,0.0,0.0,0.0,0.1,-0.7000000000000001,0.30000000000000004,-0.0,0,0,-0.0,-0.0,0,4.549999999999999
2,S.Lechler,HOU,0,0.0,0.75,0.0,6,0.0,0.0,2,0.0,0.0,0.0,0.3888888888888886,-0.7333333333333333,0.30000000000000004,-0.0,0,0,-0.0,-0.0,0,8.705555555555557
2,K.Huber,CIN,0,0.0,0.5,0.1,3,0.75,0.0,6,0.75,0.5,0.0,0.2714285714285715,0.4,0.30000000000000004,-0.0,0,0,-0.0,-0.0,0,12.571428571428573
2,B.Colquitt,CLE,0,0.0,0.25,0.0,2,0.75,0.0,0,0.0,0.0,0.0,0.7250000000000001,0.2666666666666667,0.2,-0.0,0,0,-0.0,-0.0,0,4.191666666666666
2,S.Koch,BAL,0,0.4,0.25,0.1,2,0.75,0.0,4,0.75,0.0,0.0,0.2,0.9,0.4,-0.25,0,0,-0.0,-0.0,0,9.5
2,C.Schmidt,BUF,0,0.0,0.25,0.0,3,0.0,0.0,2,0.0,0.0,0.0,0.45,0.30000000000000004,0.1,-0.0,0,0,-0.0,-0.0,0,6.1
2,M.Palardy,CAR,0,0.0,0.25,0.2,1,0.0,0.0,2,0.75,0.5,0.0,-0.35000000000000003,0.8,0.30000000000000004,-0.0,0,0,-0.0,-0.0,0,5.45
2,R.Sanchez,IND,0,0.0,1.0,0.2,1,0.0,0.0,3,0.0,0.0,0.0,-0.17142857142857154,0.30000000000000004,0.30000000000000004,-0.0,0,0,-0.0,-0.0,0,5.628571428571428
2,A.Lee,ARI,0,0.0,0.0,0.0,1,0.0,0.0,1,0.0,0.0,0.0,0.13999999999999987,0.325,0.4,-0.25,0,0,-0.0,-0.0,0,2.6149999999999998
2,B.Kern,TEN,0,0.0,0.0,0.2,0,0.0,0.0,0,0.0,0.0,0.0,-0.3333333333333336,0.5,0.7000000000000001,-0.0,0,0,-0.0,-0.0,0,1.0666666666666664
2,B.Nortman,JAX,0,0.0,0.5,0.1,3,0.0,0.0,1,0.0,0.0,0.0,0.4200000000000003,-1.85,0.2,-0.0,0,0,-0.0,-0.0,0,3.3699999999999997
2,D.Colquitt,KC,0,0.8,0.5,0.0,2,0.75,0.0,2,0.75,0.0,0.0,0.03999999999999986,-0.1,0.5,-0.0,0,0,-0.0,-0.0,0,7.24
2,D.Jones,PHI,0,0.4,0.25,0.1,0,0.0,0.0,1,0.0,0.0,0.0,-0.275,0.1,0.4,-0.25,0,0,-0.0,-0.0,0,1.725
2,T.Morstead,NO,0,0.0,0.5,0.0,1,0.0,0.0,2,0.0,0.0,0.0,-0.46666666666666645,0.9,0.4,-0.25,0,0,-0.0,-0.0,0,4.083333333333334
